run,lambda,lag,normalized_self_energy
9,0.25,21,1.6290417537561557e-17
9,0.25,22,1.653932224473979e-17
9,0.25,23,1.7581653440710607e-17
9,0.25,24,1.7596042225383713e-17
9,0.25,25,1.7725779644915466e-17
9,0.25,26,1.673890199516187e-17
9,0.25,27,1.5188314498059163e-17
9,0.25,28,1.6088278356361303e-17
9,0.25,29,1.3283174185525435e-17
9,0.25,30,9.578500314290124e-18
0,0.4,0,0.006770016371771521
0,0.4,1,0.0010504448159628075
0,0.4,2,1.3532527938150022e-06
0,0.4,3,5.030115239740281e-08
0,0.4,4,3.777099754415422e-09
0,0.4,5,4.348782508515348e-10
0,0.4,6,6.267937564288991e-11
0,0.4,7,9.803795156482651e-12
0,0.4,8,1.6654010838258561e-12
0,0.4,9,3.011204711599149e-13
0,0.4,10,5.2350481791466716e-14
0,0.4,11,9.739862778021247e-15
0,0.4,12,1.7365586154770065e-15
0,0.4,13,2.9466764096740044e-16
0,0.4,14,1.0030978479936049e-16
0,0.4,15,8.698561373879408e-17
0,0.4,16,8.976155464760981e-17
0,0.4,17,9.059564841862309e-17
0,0.4,18,9.047525138904262e-17
0,0.4,19,8.696366324578447e-17
0,0.4,20,9.005908924135556e-17
0,0.4,21,8.675609861633393e-17
0,0.4,22,8.032044098442857e-17
0,0.4,23,7.709715911330364e-17
0,0.4,24,7.975275315477753e-17
0,0.4,25,8.349277269294156e-17
0,0.4,26,8.467594242161182e-17
0,0.4,27,8.04829050139319e-17
0,0.4,28,8.204168001305695e-17
0,0.4,29,7.204983386456289e-17
0,0.4,30,3.970758518552156e-17
1,0.4,0,0.0067807697650960706
1,0.4,1,0.0010536076332761078
1,0.4,2,1.1313462094475134e-06
1,0.4,3,3.7553923959469145e-08
1,0.4,4,2.4715496182845186e-09
1,0.4,5,3.0243870421185783e-10
1,0.4,6,4.451753707697864e-11
1,0.4,7,7.426459313358361e-12
1,0.4,8,1.1660114999045847e-12
1,0.4,9,1.9754642662137246e-13
1,0.4,10,3.57605866363642e-14
1,0.4,11,6.126249377471236e-15
1,0.4,12,1.0320929558523151e-15
1,0.4,13,2.158747762312429e-16
1,0.4,14,9.658239072656208e-17
1,0.4,15,8.958572995898872e-17
1,0.4,16,9.223671508331957e-17
1,0.4,17,8.934690178998302e-17
1,0.4,18,8.872779323190243e-17
1,0.4,19,9.10638994537484e-17
1,0.4,20,9.221383219468726e-17
1,0.4,21,8.723739777880052e-17
1,0.4,22,8.228436640614579e-17
1,0.4,23,8.490435118124741e-17
1,0.4,24,8.281933112411628e-17
1,0.4,25,7.497583895457664e-17
1,0.4,26,8.252313947202513e-17
1,0.4,27,7.902766007701685e-17
1,0.4,28,7.443040154203561e-17
1,0.4,29,6.280462268011765e-17
1,0.4,30,4.867223789118761e-17
2,0.4,0,0.006781164534820761
2,0.4,1,0.0010533952435695865
2,0.4,2,1.1673214881891065e-06
2,0.4,3,3.630199391302863e-08
2,0.4,4,2.284903183530695e-09
2,0.4,5,2.4902825117902155e-10
2,0.4,6,3.9955337371308245e-11
2,0.4,7,6.444960117293997e-12
2,0.4,8,1.134160879659702e-12
2,0.4,9,2.1040089960648072e-13
2,0.4,10,3.8252118992445494e-14
2,0.4,11,6.212503071276974e-15
2,0.4,12,1.1054846826326451e-15
2,0.4,13,2.165973266126642e-16
